title,time,link,关键词,二级类别（女性气质）,一级类别（女性形象）,国家（地区）,备注（新想法写这里）,备注（新想法写这里）
甜美清透日常妆容，干净底妆搭配百搭的眼妆 和唇色真心好看,2018/1/4,https://www.bilibili.com/video/BV1jW411B74C/,甜美、清透,可爱,少女,,,
【Ha Neul】日常纯净无妆感妆容,2018/1/5,https://www.bilibili.com/video/BV16W411B7dY/,无妆感,自然,其他,,,
【lamuqe】干净清爽妆容+扩大双眼小教学,2018/1/13,https://www.bilibili.com/video/BV1VW411q7yc/,清爽,清纯,少女,,,
【Kea】初投稿！日常氧气玫瑰系妆容分享,2018/1/27,https://www.bilibili.com/video/BV16W411e7VP/,氧气,清纯,少女,,,
手把手教你如何化日常清新妆容，适合新手。,2018/2/2,https://www.bilibili.com/video/BV1eW411H7LZ/,清新,清纯,少女,,,
日常中性风妆容分享～,2018/2/11,https://www.bilibili.com/video/BV1gW411E7Ro/,中性风,中性,其他,,,
【易烫】少见的古典清丽日常淡妆 灵感来自于刘亦菲中国风妆容~,2018/2/28,https://www.bilibili.com/video/BV1FW411t786/,古典、清丽、刘亦菲、中国风,清纯,少女,中国,,
韩国女生约会都这样化妆，冬季清纯干净妆容教程,2018/3/1,https://www.bilibili.com/video/BV16W411s72U/,清纯,清纯,少女,韩国,,
【妆容分享】 厌世妆 | 一颗丧丧的橘子,2018/3/3,https://www.bilibili.com/video/BV1VW411x7eh/,厌世,叛逆,其他,,,
♡ 佐藤NOA x WHOMEE 清透湿润感MAX的妆容分享 ♡,2018/3/4,https://www.bilibili.com/video/BV1qW411x7Mi/,清透湿润感,清纯,少女,,,
胖根| “元气返校妆” 第一次穿我的校服给大家拍视频！干净奶萌系，希望大家喜欢！,2018/3/7,https://www.bilibili.com/video/BV17W411W7uk/,元气,可爱,少女,,,
偏欧美的红棕色系温柔妆容分享,2018/3/12,https://www.bilibili.com/video/BV1hW411s7p1/,温柔,温柔,少女,欧美,,
适合毛衣针织衫，冬季清纯干净日常妆容教程。,2018/3/14,https://www.bilibili.com/video/BV1jW411p7Kg/,清纯,清纯,少女,,,
